,LATITUD,LONGITUD
140,19.6961119,-101.162733
141,19.6919571,-101.1179733
142,19.6658309,-101.1912735
143,19.4960126,-101.3267762
144,19.6919557,-101.117971
145,19.695946,-101.162649
146,19.695959,-101.163305
147,19.7191622589546,-101.173075295804
148,19.4445312,-99.155968
149,19.695977,-101.162646
150,21.1250888,-101.6399639
151,19.6436467750378,-101.152077659945
152,19.6919556,-101.1179717
153,19.6920562,-101.1177268
154,33.6557157402502,-117.905952411493
155,19.6811803,-101.1815678
156,19.4973972,-100.3955891
157,19.5306338706852,-101.538229063135
158,19.6922182,-101.1179754
159,19.9748148,-102.2849831
160,19.7082195,-101.1849812
161,19.6919525,-101.1179659
162,19.6919469,-101.1179722
163,19.6958943,-101.1625137
164,19.716961,-101.1995946
165,19.6960912,-101.1627081
166,20.1261056,-101.1974144
167,19.6841999,-101.1509087
168,17.9653736475497,-102.229867046142
169,19.7076675,-101.1576587
170,19.3427938,-101.931164
171,19.6772973,-101.2544707
172,19.6960396,-101.1625618
173,19.6961391698683,-101.162755140214
174,19.7076935,-101.157658
175,19.6975008929645,-101.15832761212
176,19.6974723024213,-101.158258088431
177,19.6974773524454,-101.158296156923
178,19.6974560411137,-101.158254730227
179,19.697472597931,-101.158301756463
180,19.6974758630273,-101.15828333522
181,19.6974324522085,-101.15821925689
182,19.6975091058794,-101.158318625894
183,19.5684499,-100.4650189
184,19.6974908703032,-101.158291299059
185,19.697472585118,-101.158262815026
186,19.6974861826997,-101.158283254861
187,19.697486182005,-101.158283763032
188,19.697477245091,-101.158313206993
189,19.6974435687365,-101.158246758461
190,19.6974973069316,-101.158295265776
191,19.69750976,-101.15831756
192,19.6974518992931,-101.158243900407
193,19.69747083299,-101.158282753563
194,19.7076656,-101.1525232
195,19.9806487813049,-102.280189685218
196,19.7062528,-101.1684934
197,19.706258,-101.171701
198,19.7002008,-101.1684934
199,19.7266816,-101.0940175
200,19.696061,-101.162366
201,19.696007,-101.162308
202,20.6008660488745,-100.326116247224
203,19.6974553,-101.1582232
204,19.7064228,-101.1522357
205,19.6960831,-101.1627113
206,19.0819509,-98.1951789
207,19.6658526,-101.1912904
208,19.664,-101.2228
209,19.7296057821268,-101.10447247016
210,21.0006632,-100.3836654
211,21.0006747,-100.3836426
212,21.0006762,-100.3836447
213,21.0006584,-100.383634
214,20.3284489,-101.9972362
215,19.9449081,-102.310721
216,19.7076825,-101.1504221
217,19.860899,-100.8224291
218,19.2951028,-101.8151531
219,19.3148918,-100.4336157
220,19.4240642,-102.1345036
221,20.6232094,-103.234992
222,19.4094654814782,-102.060611522728
223,19.7040551,-101.2232675
224,19.7034269,-101.1686849
225,19.8601701245558,-100.828011122849
226,19.5046587677867,-101.618791345467
227,21.0966486968063,-101.671119195209
228,19.3073183,-101.8939792
229,20.7046824,-102.3532944
230,19.7076445,-101.1486247
231,19.701764,-101.1427358
232,19.7077108,-101.2244294
233,19.9306,-102.257409
234,19.4172675,-102.1264451
235,19.7077553,-101.2064472
236,20.6583449,-103.2438062
237,19.6207408899999,-100.609359739999
238,20.378075,-102.0265436
239,19.6842102,-101.281891
240,21.1582855,-100.9379144
241,19.6691803855683,-100.637925548773
242,34.5602884,-118.0296756
243,19.4193510546794,-101.286598975952
244,42.0736401,-88.0548684
245,19.6722048,-100.7401829
246,19.7904682,-100.9631644
247,19.7061774622112,-101.210578851839
248,19.4827598612936,-101.241258848552
249,19.3427387,-101.9311248
250,19.3462815,-101.4788608
251,19.9693918,-101.169665
252,19.3074895,-101.8938059
253,19.3077471,-101.8936416
254,19.7075047802835,-101.203625074919
255,19.6900552532327,-101.160338490271
256,19.705681,-101.233572
257,19.6658614,-101.191275
258,19.7076292,-101.1900068
259,19.7159018,-101.1625172
260,19.6899416,-101.2604072
261,19.6960922851038,-101.162753223069
262,20.7043432,-103.3297132
263,19.8032319,-99.8976826
264,19.7076353,-101.1899583
265,20.7275713238956,-103.552236828626
266,19.6891503,-101.1464736
267,19.6760698,-101.2459335
268,17.9653779,-102.2090828
269,19.2809887,-101.878301
